country,population,gdp,shadow_economy,shadow_economy_percentage,total_tax_lost
U.K.,62300000,2246079,280760,12.5,109216
Spain,46162024,1407405,316666,22.5,107350
Brazil,190755799,2087890,814277,39,280111
China,1339724852,5878629,746586,12.7,134385
Germany,81724000,3309669,529547,39,214996
France,65821885,2560002,384000,15,171264
Japan,127720000,5497813,604759,11,171264
U.S.,312582000,14582400,1254086,8.6,337349
Russia,142914136,1479819,648161,43.8,221023
Italy,60705991,2051412,553881,27,238723
